Id                  hcIdx   BaseId              NextInClass        TransLvl  NameStr
wraith4             41      wraith1             wraith5            3         Apparition
wraith5             42      wraith1             wraith6            4         DarkShape
corruptrogue1       43      corruptrogue1       corruptrogue2      0         DarkHunter
corruptrogue2       44      corruptrogue1       corruptrogue3      1         VileHunter
corruptrogue3       45      corruptrogue1       corruptrogue4      2         DarkStalker
corruptrogue4       46      corruptrogue1       corruptrogue5      3         BlackRogue
corruptrogue5       47      corruptrogue1                          4         FleshHunter
baboon1             48      baboon1             baboon2            0         DuneBeast
baboon2             49      baboon1             baboon3            1         RockDweller
baboon3             50      baboon1             baboon4            2         JungleHunter
baboon4             51      baboon1             baboon5            3         DoomApe
baboon5             52      baboon1             baboon7            4         TempleGuard
goatman1            53      goatman1            goatman2           0         MoonClan
goatman2            54      goatman1            goatman3           1         NightClan
goatman3            55      goatman1            goatman4           2         BloodClan
goatman4            56      goatman1            goatman5           3         HellClan
goatman5            57      goatman1            goatman6           4         DeathClan
fallenshaman1       58      fallenshaman1       fallenshaman2      0         FallenShaman
fallenshaman2       59      fallenshaman1       fallenshaman3      1         CarverShaman
fallenshaman3       60      fallenshaman1       fallenshaman4      2         DevilkinShaman
fallenshaman4       61      fallenshaman1       fallenshaman5      3         DarkShaman
fallenshaman5       62      fallenshaman1       fallenshaman6      4         WarpedShaman
quillrat1           63      quillrat1           quillrat2          0         QuillRat
quillrat2           64      quillrat1           quillrat3          1         SpikeFiend
quillrat3           65      quillrat1           quillrat4          2         ThornBeast
quillrat4           66      quillrat1           quillrat5          3         RazorSpine
quillrat5           67      quillrat1           quillrat6          4         JungleUrchin
sandmaggot1         68      sandmaggot1         sandmaggot2        0         SandMaggot
sandmaggot2         69      sandmaggot1         sandmaggot3        1         RockWorm
sandmaggot3         70      sandmaggot1         sandmaggot4        2         Devourer
sandmaggot4         71      sandmaggot1         sandmaggot5        3         GiantLamprey
sandmaggot5         72      sandmaggot1         sandmaggot6        4         WorldKiller
clawviper1          73      clawviper1          clawviper2         0         TombViper
clawviper2          74      clawviper1          clawviper3         1         ClawViper
clawviper3          75      clawviper1          clawviper4         2         Salamander
clawviper4          76      clawviper1          clawviper5         3         PitViper
clawviper5          77      clawviper1          clawviper6         4         SerpentMagus
sandleaper1         78      sandleaper1         sandleaper2        0         SandLeaper
sandleaper2         79      sandleaper1         sandleaper3        1         CaveLeaper
sandleaper3         80      sandleaper1         sandleaper4        2         TombCreeper
sandleaper4         81      sandleaper1         sandleaper5        3         TreeLurker
sandleaper5         82      sandleaper1         sandleaper6        4         RazorPitDemon
pantherwoman1       83      pantherwoman1       pantherwoman2      0         Huntress
pantherwoman2       84      pantherwoman1       pantherwoman3      1         SaberCat
pantherwoman3       85      pantherwoman1       pantherwoman4      2         NightTiger
pantherwoman4       86      pantherwoman1       pantherwoman5      3         HellCat
swarm1              87      swarm1              swarm2             0         Itchies
swarm2              88      swarm1              swarm3             1         BlackLocusts
swarm3              89      swarm1              swarm4             2         PlagueBugs
swarm4              90      swarm1                                 3         HellSwarm
scarab1             91      scarab1             scarab2            0         DungSoldier
scarab2             92      scarab1             scarab3            1         SandWarrior
scarab3             93      scarab1             scarab4            2         Scarab
scarab4             94      scarab1             scarab5            3         SteelWeevil
scarab5             95      scarab1             scarab6            4         AlbinoRoach
mummy1              96      mummy1              mummy2             0         DriedCorpse
mummy2              97      mummy1              mummy3             1         Decayed
mummy3              98      mummy1              mummy4             2         Embalmed
mummy4              99      mummy1              mummy5             3         PreservedDead
mummy5              100     mummy1              mummy6             4         Cadaver
unraveler1          101     unraveler1          unraveler2         0         HollowOne
unraveler2          102     unraveler1          unraveler3         1         Guardian
unraveler3          103     unraveler1          unraveler4         2         Unraveler
unraveler4          104     unraveler1          unraveler5         3         Horadrim Ancient
unraveler5          105     unraveler1          unraveler6         4         Baal Subject Mummy
chaoshorde1         106     chaoshorde1         chaoshorde2        0         unused
chaoshorde2         107     chaoshorde1         chaoshorde3        1         unused
chaoshorde3         108     chaoshorde1         chaoshorde4        2         unused
chaoshorde4         109     chaoshorde1         a  3               unused   
vulture1            110     vulture1            vulture2           0         CarrionBird
vulture2            111     vulture1            vulture3           1         UndeadScavenger
vulture3            112     vulture1            vulture4           2         HellBuzzard
vulture4            113     vulture1            vulture5           3         WingedNightmare
mosquito1           114     mosquito1           mosquito2          0         Sucker
mosquito2           115     mosquito1           mosquito3          1         Feeder
mosquito3           116     mosquito1           mosquito4          2         BloodHook
mosquito4           117     mosquito1                              3         BloodWing
willowisp1          118     willowisp1          willowisp2         0         Gloam
willowisp2          119     willowisp1          willowisp3         1         SwampGhost
willowisp3          120     willowisp1          willowisp4         2         BurningSoul
willowisp4          121     willowisp1          willowisp5         3         BlackSoul
arach1              122     arach1              arach2             0         Arach
arach2              123     arach1              arach3             1         SandFisher
arach3              124     arach1              arach4             2         PoisonSpinner
arach4              125     arach1              arach5             3         FlameSpider
arach5              126     arach1              arach6             4         SpiderMagus
thornhulk1          127     thornhulk1          thornhulk2         0         ThornedHulk
thornhulk2          128     thornhulk1          thornhulk3         1         BrambleHulk
thornhulk3          129     thornhulk1          thornhulk4         2         Thrasher
thornhulk4          130     thornhulk1          thornhulk5         3         Spikefist
vampire1            131     vampire1            vampire2           0         GhoulLord
vampire2            132     vampire1            vampire3           1         NightLord
vampire3            133     vampire1            vampire4           2         DarkLord
vampire4            134     vampire1            vampire5           3         BloodLord
vampire5            135     vampire1            vampire6           4         Banished
batdemon1           136     batdemon1           batdemon2          0         DesertWing
batdemon2           137     batdemon1           batdemon3          1         Fiend
batdemon3           138     batdemon1           batdemon4          2         Gloombat
batdemon4           139     batdemon1           batdemon5          3         BloodDiver
batdemon5           140     batdemon1           batdemon6          4         DarkFamiliar
fetish1             141     fetish1             fetish2            0         RatMan
fetish2             142     fetish1             fetish3            1         Fetish
fetish3             143     fetish1             fetish4            2         Flayer
fetish4             144     fetish1             fetish5            3         SoulKiller
fetish5             145     fetish1             fetish6            4         StygianDoll
cain1               146     cain1                                  0         DeckardCain
gheed               147     gheed                                  0         Gheed
akara               148     akara                                  0         Akara
chicken             149     chicken                                0         dummy
kashya              150     kashya                                 0         Kashya
rat                 151     rat                                    0         dummy
rogue1              152     rogue1                                 0         Dummy
hellmeteor          153     hellmeteor                             0         Dummy
charsi              154     charsi                                 0         Charsi
warriv1             155     warriv1                                0         Warriv
andariel            156     andariel                               0         Andariel
bird1               157     bird1                                  0         dummy
bird2               158     bird2                                  0         dummy
bat                 159     bat                                    0         dummy
cr_archer1          160     cr_archer1          cr_archer2         0         DarkRanger
cr_archer2          161     cr_archer1          cr_archer3         1         VileArcher
cr_archer3          162     cr_archer1          cr_archer4         2         DarkArcher
cr_archer4          163     cr_archer1          cr_archer5         3         BlackArcher
cr_archer5          164     cr_archer1          cr_archer6         4         FleshArcher
cr_lancer1          165     cr_lancer1          cr_lancer2         0         DarkSpearwoman
cr_lancer2          166     cr_lancer1          cr_lancer3         1         VileLancer
cr_lancer3          167     cr_lancer1          cr_lancer4         2         DarkLancer
cr_lancer4          168     cr_lancer1          cr_lancer5         3         BlackLancer
cr_lancer5          169     cr_lancer1          cr_lancer6         4         FleshLancer
sk_archer1          170     sk_archer1          sk_archer2         0         SkeletonArcher
sk_archer2          171     sk_archer1          sk_archer3         1         ReturnedArcher
sk_archer3          172     sk_archer1          sk_archer4         2         BoneArcher
sk_archer4          173     sk_archer1          sk_archer5         3         BurningDeadArcher
sk_archer5          174     sk_archer1          sk_archer6         4         HorrorArcher
warriv2             175     warriv2                                0         Warriv
atma                176     atma                                   0         Atma
drognan             177     drognan                                0         Drognan
fara                178     fara                                   0         Fara
cow                 179     cow                                    0         dummy
maggotbaby1         180     maggotbaby1         maggotbaby2        0         SandMaggotYoung
maggotbaby2         181     maggotbaby1         maggotbaby3        1         RockWormYoung
maggotbaby3         182     maggotbaby1         maggotbaby4        2         DevourerYoung
maggotbaby4         183     maggotbaby1         maggotbaby5        3         GiantLampreyYoung
maggotbaby5         184     maggotbaby1         maggotbaby6        4         WorldKillerYoung
camel               185     camel                                  0         dummy
blunderbore1        186     blunderbore1        blunderbore2       0         Blunderbore
blunderbore2        187     blunderbore1        blunderbore3       1         Gorbelly
blunderbore3        188     blunderbore1        blunderbore4       2         Mauler
blunderbore4        189     blunderbore1        blunderbore5       3         Urdar
maggotegg1          190     maggotegg1          maggotegg2         0         SandMaggotEgg
maggotegg2          191     maggotegg1          maggotegg3         1         RockWormEgg
maggotegg3          192     maggotegg1          maggotegg4         2         DevourerEgg
maggotegg4          193     maggotegg1          maggotegg5         3         GiantLampreyEgg
maggotegg5          194     maggotegg1          maggotegg6         4         WorldKillerEgg
act2male            195     act2male                               0         dummy
act2female          196     act2female                             0         Dummy
act2child           197     act2child                              0         dummy
greiz               198     greiz                                  0         Greiz
elzix               199     elzix                                  0         Elzix
geglash             200     geglash                                0         Geglash
jerhyn              201     jerhyn                                 0         Jerhyn
lysander            202     lysander                               0         Lysander
act2guard1          203     act2guard1                             0         Dummy
act2vendor1         204     act2vendor1                            0         dummy
act2vendor2         205     act2vendor2                            0         dummy
crownest1           206     crownest1           crownest2          0         FoulCrowNest
crownest2           207     crownest1           crownest3          1         BloodHawkNest
crownest3           208     crownest1           crownest4          2         BlackVultureNest
crownest4           209     crownest1                              3         CloudStalkerNest
meshif1             210     meshif1                                0         Meshif
duriel              211     duriel                                 0         Duriel
bonefetish1         212     bonefetish1         bonefetish2        0         Undead RatMan
bonefetish2         213     bonefetish1         bonefetish3        1         Undead Fetish
bonefetish3         214     bonefetish1         bonefetish4        2         Undead Flayer
bonefetish4         215     bonefetish1         bonefetish5        3         Undead SoulKiller
bonefetish5         216     bonefetish1         bonefetish6        4         Undead StygianDoll
darkguard1          217     darkguard1          darkguard2         0         unused
darkguard2          218     darkguard1          darkguard3         1         unused
darkguard3          219     darkguard1          darkguard4         2         unused
darkguard4          220     darkguard1          darkguard5         3         unused
darkguard5          221     darkguard1                             4         unused
bloodmage1          222     bloodmage1          bloodmage2         0         unused
bloodmage2          223     bloodmage1          bloodmage3         1         unused
bloodmage3          224     bloodmage1          bloodmage4         2         unused
bloodmage4          225     bloodmage1          bloodmage5         3         unused
bloodmage5          226     bloodmage1                             4         unused
maggot              227     maggot                                 0         Maggot
sarcophagus         228     sarcophagus                            0         MummyGenerator
radament            229     radament                               0         Radament
firebeast           230     firebeast                              0         unused
iceglobe            231     iceglobe                               0         unused
lightningbeast      232     lightningbeast                         0         unused
poisonorb           233     poisonorb                              0         unused
flyingscimitar      234     flyingscimitar                         0         FlyingScimitar
zealot1             235     zealot1             zealot2            0         Zakarumite
zealot2             236     zealot1             zealot3            1         Faithful
zealot3             237     zealot1             zealot4            2         Zealot
cantor1             238     cantor1             cantor2            0         Sexton
cantor2             239     cantor1             cantor3            1         Cantor
cantor3             240     cantor1             cantor4            2         Heirophant
cantor4             241     cantor1             cantor5            3         Heirophant
mephisto            242     mephisto                               0         Mephisto
diablo              243     diablo                                 0         Diablo
cain2               244     cain2                                  0         DeckardCain
cain3               245     cain3                                  0         DeckardCain
cain4               246     cain4                                  0         DeckardCain
frogdemon1          247     frogdemon1          frogdemon2         0         Swamp Dweller
frogdemon2          248     frogdemon1          frogdemon3         1         Bog Creature
frogdemon3          249     frogdemon1                             2         Slime Prince
summoner            250     summoner                               0         Summoner
tyrael1             251     tyrael1                                0         tyrael
asheara             252     asheara                                0         asheara
hratli              253     hratli                                 0         hratli
alkor               254     alkor                                  0         alkor
ormus               255     ormus                                  0         ormus
izual               256     izual                                  0         izual
halbu               257     halbu                                  0         halbu
tentacle1           258     tentacle1           tentacle2          0         WaterWatcherLimb
tentacle2           259     tentacle1           tentacle3          1         RiverStalkerLimb
tentacle3           260     tentacle1                              2         StygianWatcherLimb
tentaclehead1       261     tentaclehead1       tentaclehead2      0         WaterWatcherHead
tentaclehead2       262     tentaclehead1       tentaclehead3      1         RiverStalkerHead
tentaclehead3       263     tentaclehead1                          2         StygianWatcherHead
meshif2             264     meshif2                                0         meshif
cain5               265     cain5                                  0         DeckardCain
navi                266     navi                                   0         navi
bloodraven          267     bloodraven                             0         Bloodraven
bug                 268     bug                                    0         Dummy
scorpion            269     scorpion                               0         Dummy
rogue2              270     rogue2                                 0         RogueScout
roguehire           271     roguehire                              0         Dummy
rogue3              272     rogue3                                 0         Dummy
gargoyletrap        273     gargoyletrap                           0         GargoyleTrap
skmage_pois1        274     skmage_pois1        skmage_pois2       1         ReturnedMage
skmage_pois2        275     skmage_pois1        skmage_pois3       2         BoneMage
skmage_pois3        276     skmage_pois1        skmage_pois4       3         BurningDeadMage
skmage_pois4        277     skmage_pois1        skmage_pois5       4         HorrorMage
fetishshaman1       278     fetishshaman1       fetishshaman2      0         RatManShaman
fetishshaman2       279     fetishshaman1       fetishshaman3      1         FetishShaman
fetishshaman3       280     fetishshaman1       fetishshaman4      2         FlayerShaman
fetishshaman4       281     fetishshaman1       fetishshaman5      3         SoulKillerShaman
fetishshaman5       282     fetishshaman1       fetishshaman6      4         StygianDollShaman
larva               283     larva                                  0         larva
maggotqueen1        284     maggotqueen1        maggotqueen2       0         SandMaggotQueen
maggotqueen2        285     maggotqueen1        maggotqueen3       1         RockWormQueen
maggotqueen3        286     maggotqueen1        maggotqueen4       2         DevourerQueen
maggotqueen4        287     maggotqueen1        maggotqueen5       3         GiantLampreyQueen
maggotqueen5        288     maggotqueen1                           4         WorldKillerQueen
claygolem           289     claygolem                              0         ClayGolem
bloodgolem          290     bloodgolem                             0         BloodGolem
irongolem           291     irongolem                              0         IronGolem
firegolem           292     firegolem                              0         FireGolem
familiar            293     familiar                               0         Dummy
act3male            294     act3male                               0         Dummy
baboon6             295     baboon6                                0         NightMarauder
act3female          296     act3female                             0         Dummy
natalya             297     natalya                                0         Natalya
vilemother1         298     vilemother1         vilemother2        0         FleshSpawner
vilemother2         299     vilemother1         vilemother3        1         StygianHag
vilemother3         300     vilemother1         vilemother4        2         Grotesque
vilechild1          301     vilechild1          vilechild2         0         FleshBeast
vilechild2          302     vilechild1          vilechild3         1         StygianDog
vilechild3          303     vilechild1          vilechild4         2         GrotesqueWyrm
fingermage1         304     fingermage1         fingermage2        0         Groper
fingermage2         305     fingermage1         fingermage3        1         Strangler
fingermage3         306     fingermage1         fingermage4        2         StormCaster
regurgitator1       307     regurgitator1       regurgitator2      0         Corpulent
regurgitator2       308     regurgitator1       regurgitator3      1         CorpseSpitter
regurgitator3       309     regurgitator1       regurgitator4      2         MawFiend
doomknight1         310     doomknight1         dkfig1             0         DoomKnight
doomknight2         311     doomknight2                            0         AbyssKnight
doomknight3         312     doomknight3         dkmag1             0         OblivionKnight
quillbear1          313     quillbear1          quillbear2         0         QuillBear
quillbear2          314     quillbear1          quillbear3         1         SpikeGiant
quillbear3          315     quillbear1          quillbear4         2         ThornBrute
quillbear4          316     quillbear1          quillbear5         3         RazorBeast
quillbear5          317     quillbear1                             4         GiantUrchin
snake               318     snake                                  0         Dummy
parrot              319     parrot                                 0         Dummy
fish                320     fish                                   0         Dummy
evilhole1           321     evilhole1           evilhole2          0         Dummy
evilhole2           322     evilhole1           evilhole3          1         Dummy
evilhole3           323     evilhole1           evilhole4          2         Dummy
evilhole4           324     evilhole1           evilhole5          3         Dummy
evilhole5           325     evilhole1                              4         Dummy
trap-firebolt       326     trap-firebolt                          0         a trap
trap-horzmissile    327     trap-horzmissile                       0         a trap
trap-vertmissile    328     trap-vertmissile                       0         a trap
trap-poisoncloud    329     trap-poisoncloud                       0         a trap
trap-lightning      330     trap-lightning                         0         a trap
act2guard2          331     act2guard2                             0         Kaelan
invisospawner       332     invisospawner                          0         Dummy
diabloclone         333     diablo                                 0         Diablo
suckernest1         334     suckernest1         suckernest2        0         SuckerNest
suckernest2         335     suckernest1         suckernest3        1         FeederNest
suckernest3         336     suckernest1         suckernest4        2         BloodHookNest
suckernest4         337     suckernest1                            3         BloodWingNest
act2hire            338     act2hire                               0         Guard
minispider          339     minispider                             0         Dummy
boneprison1         340     boneprison1                            0         
boneprison2         341     boneprison2                            0         
boneprison3         342     boneprison3                            0         
boneprison4         343     boneprison4                            0         
bonewall            344     bonewall                               0         Dummy
councilmember1      345     councilmember1      councilmember2     0         Council Member
councilmember2      346     councilmember1      councilmember3     1         Council Member
councilmember3      347     councilmember1                         2         Council Member
turret1             348     turret1             turret2            0         Turret
turret2             349     turret1             turret3            1         Turret
turret3             350     turret1                                2         Turret
hydra1              351     hydra1                                 0         Hydra
hydra2              352     hydra2                                 0         Hydra
hydra3              353     hydra3                                 0         Hydra
trap-melee          354     trap-melee                             0         a trap
seventombs          355     seventombs                             0         Dummy
dopplezon           356     dopplezon                              0         Dopplezon
valkyrie            357     valkyrie                               0         Valkyrie
act2guard3          358     act2guard3                             0         Dummy
act3hire            359     act3hire                               0         Iron Wolf
megademon1          360     megademon1          megademon2         0         Balrog
megademon2          361     megademon1          megademon3         1         PitLord
megademon3          362     megademon1          megademon4         2         VenomLord
necroskeleton       363     necroskeleton                          0         NecroSkeleton
necromage           364     necromage                              0         NecroMage
griswold            365     griswold                               0         Griswold
compellingorb       366     compellingorb                          0         compellingorb
tyrael2             367     tyrael2                                0         tyrael
darkwanderer        368     darkwanderer                           0         youngdiablo
trap-nova           369     trap-nova                              0         a trap
spiritmummy         370     spiritmummy                            0         Dummy
lightningspire      371     lightningspire                         0         LightningSpire
firetower           372     firetower                              0         FireTower
slinger1            373     slinger1            slinger2           0         Slinger
slinger2            374     slinger1            slinger3           1         SpearCat
slinger3            375     slinger1            slinger4           2         NightSlinger
slinger4            376     slinger1            slinger7           3         HellSlinger
act2guard4          377     act2guard4                             0         Dummy
act2guard5          378     act2guard5                             0         Dummy
skmage_cold1        379     skmage_cold1        skmage_cold2       1         ReturnedMage
skmage_cold2        380     skmage_cold1        skmage_cold3       2         BoneMage
skmage_cold3        381     skmage_cold1        skmage_cold4       3         BaalColdMage
skmage_cold4        382     skmage_cold1        skmage_cold5       4         HorrorMage
skmage_fire1        383     skmage_fire1        skmage_fire2       1         ReturnedMage
skmage_fire2        384     skmage_fire1        skmage_fire3       2         BoneMage
skmage_fire3        385     skmage_fire1        skmage_fire4       3         BurningDeadMage
skmage_fire4        386     skmage_fire1        skmage_fire5       4         HorrorMage
skmage_ltng1        387     skmage_ltng1        skmage_ltng2       1         ReturnedMage
skmage_ltng2        388     skmage_ltng1        skmage_ltng3       2         BoneMage
skmage_ltng3        389     skmage_ltng1        skmage_ltng4       3         BurningDeadMage
skmage_ltng4        390     skmage_ltng1        skmage_ltng5       4         HorrorMage
hellbovine          391     hellbovine                             0         Hell Bovine
window1             392     window1                                0         
window2             393     window2                                0         
slinger5            394     slinger5            slinger6           0         SpearCat
slinger6            395     slinger5                               1         NightSlinger
fetishblow1         396     fetishblow1         fetishblow2        0         RatMan
fetishblow2         397     fetishblow1         fetishblow3        1         Fetish
fetishblow3         398     fetishblow1         fetishblow4        2         Flayer
fetishblow4         399     fetishblow1         fetishblow5        3         SoulKiller
fetishblow5         400     fetishblow1         fetishblow6        4         StygianDoll
mephistospirit      401     mephistospirit                         0         Dummy
smith               402     smith                                  0         The Smith
trappedsoul1        403     trappedsoul1                           0         TrappedSoul
trappedsoul2        404     trappedsoul2                           0         TrappedSoul
jamella             405     jamella                                0         Jamella
izualghost          406     izualghost                             0         Izual
fetish11            407     fetish11                               0         RatMan
malachai            408     malachai                               0         Malachai
hephasto            409     hephasto                               0         The Feature Creep
Expansion
wakeofdestruction   410     wakeofdestruction                      0         Wake of Destruction
chargeboltsentry    411     chargeboltsentry                       0         Charged Bolt Sentry
lightningsentry     412     lightningsentry                        0         Lightning Sentry
bladecreeper        413     bladecreeper                           0         Blade Creeper
invisopet           414     invisopet                              0         Invis Pet
infernosentry       415     infernosentry                          0         Inferno Sentry
deathsentry         416     deathsentry                            0         Death Sentry
shadowwarrior       417     shadowwarrior                          0         Shadow Warrior
shadowmaster        418     shadowmaster                           0         Shadow Master
druidhawk           419     druidhawk                              0         Druid Hawk
spiritwolf          420     spiritwolf          fenris             0         Druid Spirit Wolf
fenris              421     spiritwolf                             1         Druid Fenris
spiritofbarbs       422     spiritofbarbs       heartofwolverine   0         Spirit of Barbs
heartofwolverine    423     spiritofbarbs       oaksage            1         Heart of Wolverine
oaksage             424     spiritofbarbs                          2         Oak Sage
plaguepoppy         425     plaguepoppy                            0         Druid Plague Poppy
cycleoflife         426     cycleoflife                            0         Druid Cycle of Life
vinecreature        427     vinecreature                           0         Vine Creature
druidbear           428     druidbear                              0         Druid Bear
eagle               429     eagle                                  0         Eagle
wolf                430     wolf                                   0         Wolf
bear                431     bear                                   0         Bear
barricadedoor1      432     barricadedoor1      barricadedoor2     0         Barricade Door
barricadedoor2      433     barricadedoor1                         1         Barricade Door
prisondoor          434     prisondoor                             0         Prison Door
barricadetower      435     barricadetower                         0         Barricade Tower
reanimatedhorde1    436     reanimatedhorde1    reanimatedhorde2   0         RotWalker
reanimatedhorde2    437     reanimatedhorde1    reanimatedhorde3   1         ReanimatedHorde
reanimatedhorde3    438     reanimatedhorde1    reanimatedhorde4   2         ProwlingDead
reanimatedhorde4    439     reanimatedhorde1    reanimatedhorde5   3         UnholyCorpse
reanimatedhorde5    440     reanimatedhorde1    reanimatedhorde6   4         DefiledWarrior
siegebeast1         441     siegebeast1         siegebeast2        0         Siege Beast
siegebeast2         442     siegebeast1         siegebeast3        1         CrushBiest
siegebeast3         443     siegebeast1         siegebeast4        2         BloodBringer
siegebeast4         444     siegebeast1         siegebeast5        3         GoreBearer
siegebeast5         445     siegebeast1                            4         DeamonSteed
snowyeti1           446     snowyeti1           snowyeti2          0         SnowYeti1
snowyeti2           447     snowyeti1           snowyeti3          1         SnowYeti2
snowyeti3           448     snowyeti1           snowyeti4          2         SnowYeti3
snowyeti4           449     snowyeti1                              3         SnowYeti4
wolfrider1          450     wolfrider1          wolfrider2         0         WolfRider1
wolfrider2          451     wolfrider1          wolfrider3         1         WolfRider2
wolfrider3          452     wolfrider1                             2         WolfRider3
minion1             453     minion1             minion2            0         Minionexp
minion2             454     minion1             minion3            2         Slayerexp
minion3             455     minion1             minion4            1         IceBoar
minion4             456     minion1             minion5            3         FireBoar
minion5             457     minion1             minion6            4         HellSpawn
minion6             458     minion1             minion7            5         IceSpawn
minion7             459     minion1             minion8            6         GreaterHellSpawn
minion8             460     minion1             minion9            7         GreaterIceSpawn
suicideminion1      461     suicideminion1      suicideminion2     0         FanaticMinion
suicideminion2      462     suicideminion1      suicideminion3     1         BerserkSlayer
suicideminion3      463     suicideminion1      suicideminion4     2         ConsumedIceBoar
suicideminion4      464     suicideminion1      suicideminion5     3         ConsumedFireBoar
suicideminion5      465     suicideminion1      suicideminion6     4         FrenziedHellSpawn
suicideminion6      466     suicideminion1      suicideminion7     5         FrenziedIceSpawn
suicideminion7      467     suicideminion1      suicideminion8     6         InsaneHellSpawn
suicideminion8      468     suicideminion1                         7         InsaneIceSpawn
succubus1           469     succubus1           succubus2          0         Succubusexp
succubus2           470     succubus1           succubus3          1         VileTemptress
succubus3           471     succubus1           succubus4          2         StygianHarlot
succubus4           472     succubus1           succubus5          3         Hell Temptress
succubus5           473     succubus1           succubus6          4         Blood Temptress
succubuswitch1      474     succubuswitch1      succubuswitch2     0         Dominus
succubuswitch2      475     succubuswitch1      succubuswitch3     1         VileWitch
succubuswitch3      476     succubuswitch1      succubuswitch4     2         StygianFury
succubuswitch4      477     succubuswitch1      succubuswitch5     3         Blood Witch
succubuswitch5      478     succubuswitch1      succubuswitch6     4         Hell Witch
overseer1           479     overseer1           overseer2          0         OverSeer
overseer2           480     overseer1           overseer3          1         Lasher
overseer3           481     overseer1           overseer4          2         OverLord
overseer4           482     overseer1           overseer5          3         BloodBoss
overseer5           483     overseer1                              4         HellWhip
minionspawner1      484     minionspawner1      minionspawner2     0         MinionSpawner
minionspawner2      485     minionspawner1      minionspawner3     1         MinionSlayerSpawner
minionspawner3      486     minionspawner1      minionspawner4     2         MinionIce/fireBoarSpawner
minionspawner4      487     minionspawner1      minionspawner5     3         MinionIce/fireBoarSpawner
minionspawner5      488     minionspawner1      minionspawner6     4         Minionice/hellSpawnSpawner
minionspawner6      489     minionspawner1      minionspawner7     5         MinionIce/fireBoarSpawner
minionspawner7      490     minionspawner1      minionspawner8     6         MinionIce/fireBoarSpawner
minionspawner8      491     minionspawner1                         7         Minionice/hellSpawnSpawner
imp1                492     imp1                imp2               0         Imp1
imp2                493     imp1                imp3               1         Imp2
imp3                494     imp1                imp4               2         Imp3
imp4                495     imp1                imp5               3         Imp4
imp5                496     imp1                imp6               4         Imp5
catapult1           497     catapult1           catapult2          0         CatapultS
catapult2           498     catapult1           catapult3          1         CatapultE
catapult3           499     catapult1           catapult4          2         CatapultSiege
catapult4           500     catapult1                              3         CatapultW
frozenhorror1       501     frozenhorror1       frozenhorror2      0         Frozen Horror1
frozenhorror2       502     frozenhorror1       frozenhorror3      1         Frozen Horror2
frozenhorror3       503     frozenhorror1       frozenhorror4      2         Frozen Horror3
frozenhorror4       504     frozenhorror1       frozenhorror5      3         Frozen Horror4
frozenhorror5       505     frozenhorror1                          4         Frozen Horror5
bloodlord1          506     bloodlord1          bloodlord2         0         Blood Lord1
bloodlord2          507     bloodlord1          bloodlord3         1         Blood Lord2
bloodlord3          508     bloodlord1          bloodlord4         2         Blood Lord3
bloodlord4          509     bloodlord1          bloodlord5         3         Blood Lord4
bloodlord5          510     bloodlord1          bloodlord6         4         Blood Lord5
larzuk              511     larzuk                                 0         Larzuk
drehya              512     drehya                                 0         Drehya
malah               513     malah                                  0         Malah
